Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
2015-07-06,28.160536,21.802,27.076418,73.33935,50.776344,86.942696,38.355206,0.48808363,59.77223,52.307358
2015-07-07,28.091248,21.836,27.295267,73.877075,50.37665,86.614975,38.27743,0.4788881,61.01918,52.522865
2015-07-08,27.393938,21.485,26.881887,73.0182,49.34346,85.05585,38.22559,0.47550038,60.474113,51.952423
2015-07-09,26.835196,21.7195,27.02828,73.488716,49.856285,85.28426,38.467514,0.46969277,60.2277,51.71794
2015-07-10,27.552618,22.1755,27.596985,74.33266,50.56519,87.3399,38.545288,0.47792026,60.44422,52.11087
2015-07-13,28.084538,22.7785,28.372128,74.8853,51.34949,89.47498,39.34885,0.481066,61.16107,52.23762
2015-07-14,28.07337,23.2785,28.98996,74.51935,52.065918,89.0579,39.417973,0.48130792,61.25813,52.674957
2015-07-15,28.343796,23.0595,28.97904,74.99732,52.179035,89.137344,39.53896,0.47792026,61.34028,52.453136
2015-07-16,28.721508,23.774,29.863363,75.51264,52.45806,90.21978,40.31659,0.48856774,61.452248,52.54821
2015-07-17,28.969585,24.1505,34.718674,74.74339,52.194134,94.31121,40.282032,0.48566368,61.40747,52.35807
2015-07-20,29.517153,24.405,34.382217,74.95999,52.231834,97.23081,40.54122,0.4767103,61.37013,51.81934
2015-07-21,29.222136,24.4,34.506783,74.93756,52.111168,97.70748,40.8523,0.4788881,60.951984,51.75596
2015-07-22,27.986206,24.4135,34.49437,74.81809,52.85022,96.36685,39.34885,0.46969277,60.84886,51.838352
2015-07-23,27.972797,24.109,33.48351,74.833015,52.518414,94.77794,39.84137,0.47550038,60.75101,51.426376
2015-07-24,27.82528,26.471,32.492992,74.04885,51.967876,96.27747,39.694477,0.46993473,60.44235,50.665844
2015-07-27,27.43864,26.5705,32.66668,73.39909,51.289165,93.516754,39.18469,0.46727285,60.20143,50.234848
2015-07-28,27.57497,26.3015,32.735664,73.95172,51.31932,94.62898,39.176044,0.47743616,60.39718,52.27567
2015-07-29,27.487804,26.45,32.82349,74.481995,51.99052,96.31719,39.996887,0.48324385,60.690765,52.693993
2015-07-30,27.349241,26.838,32.978817,74.56415,52.065918,94.549545,40.506683,0.48445374,58.259212,52.611603
2015-07-31,27.1101,26.8075,32.62847,74.84049,51.68132,93.357864,40.351143,0.4827599,57.739796,50.20314
2015-08-03,26.470898,26.7515,32.986763,74.69857,51.68132,93.48696,40.446205,0.4909875,57.513947,49.474262
2015-08-04,25.621614,26.595,32.81605,74.5343,51.62853,93.40752,41.07695,0.4929232,57.145077,48.91019
2015-08-05,25.791473,26.8505,33.412052,75.07201,51.832138,95.77102,41.111523,0.4980049,57.03968,48.91019
2015-08-06,25.847588,26.473,33.256226,73.989105,51.470154,94.46016,40.282032,0.49485907,57.017094,49.4933
2015-08-07,25.935156,26.131,32.970387,73.82481,51.31932,93.64586,40.38571,0.5560812,56.821373,48.694717
